medal_type,name,gender,discipline,event,country_code,country
Gold Medal,Remco EVENEPOEL,M,Cycling Road,Men's Individual Time Trial,BEL,Belgium
Silver Medal,Filippo GANNA,M,Cycling Road,Men's Individual Time Trial,ITA,Italy
Bronze Medal,Wout van AERT,M,Cycling Road,Men's Individual Time Trial,BEL,Belgium
Gold Medal,Grace BROWN,W,Cycling Road,Women's Individual Time Trial,AUS,Australia
Silver Medal,Anna HENDERSON,W,Cycling Road,Women's Individual Time Trial,GBR,Great Britain
Bronze Medal,Chloe DYGERT,W,Cycling Road,Women's Individual Time Trial,USA,United States
Gold Medal,China,W,Diving,Women's Synchronised 3m Springboard,CHN,China
Silver Medal,United States,W,Diving,Women's Synchronised 3m Springboard,USA,United States
Bronze Medal,Great Britain,W,Diving,Women's Synchronised 3m Springboard,GBR,Great Britain
Gold Medal,OH Sanguk,M,Fencing,Men's Sabre Individual,KOR,Korea
Silver Medal,Fares FERJANI,M,Fencing,Men's Sabre Individual,TUN,Tunisia
Bronze Medal,Luigi SAMELE,M,Fencing,Men's Sabre Individual,ITA,Italy
Gold Medal,KONG Man Wai Vivian,W,Fencing,Women's Épée Individual,HKG,"Hong Kong, China"
Silver Medal,Auriane MALLO-BRETON,W,Fencing,Women's Épée Individual,FRA,France
Bronze Medal,Eszter MUHARI,W,Fencing,Women's Épée Individual,HUN,Hungary
Gold Medal,Yeldos SMETOV,M,Judo,Men -60 kg,KAZ,Kazakhstan
Silver Medal,Luka MKHEIDZE,M,Judo,Men -60 kg,FRA,France
Bronze Medal,NAGAYAMA Ryuju,M,Judo,Men -60 kg,JPN,Japan
Bronze Medal,Francisco GARRIGOS,M,Judo,Men -60 kg,ESP,Spain
Gold Medal,TSUNODA Natsumi,W,Judo,Women -48 kg,JPN,Japan
Silver Medal,Baasankhuu BAVUUDORJ,W,Judo,Women -48 kg,MGL,Mongolia
Bronze Medal,Shirine BOUKLI,W,Judo,Women -48 kg,FRA,France
Bronze Medal,Tara BABULFATH,W,Judo,Women -48 kg,SWE,Sweden
Gold Medal,France,M,Rugby Sevens,Men,FRA,France
Silver Medal,Fiji,M,Rugby Sevens,Men,FIJ,Fiji
Bronze Medal,South Africa,M,Rugby Sevens,Men,RSA,South Africa
Gold Medal,China 1,X,Shooting,10m Air Rifle Mixed Team,CHN,China
Silver Medal,Korea 1,X,Shooting,10m Air Rifle Mixed Team,KOR,Korea
Bronze Medal,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,KAZ,Kazakhstan
Gold Medal,United States,M,Swimming,Men's 4 x 100m Freestyle Relay,USA,United States
Silver Medal,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,AUS,Australia
Bronze Medal,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,ITA,Italy
Gold Medal,Lukas MAERTENS,M,Swimming,Men's 400m Freestyle,GER,Germany
Silver Medal,Elijah WINNINGTON,M,Swimming,Men's 400m Freestyle,AUS,Australia
Bronze Medal,KIM Woomin,M,Swimming,Men's 400m Freestyle,KOR,Korea
Gold Medal,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,AUS,Australia
Silver Medal,United States,W,Swimming,Women's 4 x 100m Freestyle Relay,USA,United States
Bronze Medal,China,W,Swimming,Women's 4 x 100m Freestyle Relay,CHN,China
Gold Medal,Ariarne TITMUS,W,Swimming,Women's 400m Freestyle,AUS,Australia
Silver Medal,Summer McINTOSH,W,Swimming,Women's 400m Freestyle,CAN,Canada
Bronze Medal,Katie LEDECKY,W,Swimming,Women's 400m Freestyle,USA,United States
Gold Medal,Korea,W,Archery,Women's Team,KOR,Korea
Silver Medal,China,W,Archery,Women's Team,CHN,China
Bronze Medal,Mexico,W,Archery,Women's Team,MEX,Mexico
Gold Medal,Jessica FOX,W,Canoe Slalom,Women's Kayak Single,AUS,Australia
Silver Medal,Klaudia ZWOLINSKA,W,Canoe Slalom,Women's Kayak Single,POL,Poland
Bronze Medal,Kimberley WOODS,W,Canoe Slalom,Women's Kayak Single,GBR,Great Britain
Gold Medal,Pauline FERRAND PREVOT,W,Cycling Mountain Bike,Women's Cross-country,FRA,France
Silver Medal,Haley BATTEN,W,Cycling Mountain Bike,Women's Cross-country,USA,United States
Bronze Medal,Jenny RISSVEDS,W,Cycling Mountain Bike,Women's Cross-country,SWE,Sweden
Gold Medal,KANO Koki,M,Fencing,Men's Épée Individual,JPN,Japan
Silver Medal,Yannick BOREL,M,Fencing,Men's Épée Individual,FRA,France
Bronze Medal,Mohamed ELSAYED,M,Fencing,Men's Épée Individual,EGY,Egypt
Gold Medal,Lee KIEFER,W,Fencing,Women's Foil Individual,USA,United States
Silver Medal,Lauren SCRUGGS,W,Fencing,Women's Foil Individual,USA,United States
Bronze Medal,Eleanor HARVEY,W,Fencing,Women's Foil Individual,CAN,Canada
Gold Medal,ABE Hifumi,M,Judo,Men -66 kg,JPN,Japan
