country_code,country,gold,silver,bronze,total,lotr_movies,estimated_nuclear_warheads,life_exp_2007,population_millions_2007,GDP_per_capita_2007,land_area_sqkm,forest_area_sqkm,ag_land_sqkm,women_parliament_pct,renewable_electricity_pct,air_pollution,meat_kg_per_person,beef,milk,kiwifruit,total_olympic_athletes,total_female_heads_of_state,golds_pp,silvers_pp,bronzes_pp,total_pp,z_in_name
USA,United States,40,44,42,126,0,5044,78.24,301.14,42951.65,9147420,3097950,4058103.54,28.97,13.23,7.05,124.11,3703,109546,170407,619,0,134,101,95,330,0
CHN,China,40,27,24,91,0,500,72.96,1318.68,4959.11,9388210,2218577.5,5206950,26.54,23.93,31.63,60.6,1484,29472,119566,398,1,71,57,40,168,0
JPN,Japan,20,12,13,45,0,0,82.6,127.47,31656.07,364500,249350,46590,10.34,15.98,10.28,49.33,4500,88401,115679,431,0,27,31,24,82,0
AUS,Australia,18,19,16,53,0,0,81.24,20.43,34435.37,7692020,1340051,3635190,38.41,13.64,4.66,121.61,3071,63083,157248,475,1,33,45,45,123,0
FRA,France,16,26,22,64,0,290,80.66,61.08,30470.02,547557,173364,285537.54,37.78,15.86,7.2,83.05,3195,74184,119898,600,2,53,95,38,186,0
NED,Netherlands,15,7,12,34,0,0,79.76,16.57,36797.93,33670,3704.37,18120,40,12.44,7.82,75.82,1999,92572,0,289,0,66,25,26,117,0
GBR,Great Britain,14,22,29,65,0,225,79.42,60.78,33203.26,241930,31986.67,172151.41,34.62,24.84,7.24,79.9,3284,84003,0,342,1,40,42,79,161,0
KOR,Korea,13,9,10,32,0,0,78.62,49.04,23348.14,97600,62770,16030,19.06,1.89,20.27,70.71,3251,103532,155554,147,0,21,14,23,58,0
ITA,Italy,12,13,15,40,0,0,80.55,58.15,28569.72,295717,96199.4,124030.31,32.25,38.68,12.69,80.96,2671,70680,217604,397,1,31,29,28,88,0
GER,Germany,12,13,8,33,0,0,79.41,82.4,32170.37,349390,114190,165910,35.19,29.23,8.02,87.79,3292,85043,0,457,1,25,50,38,113,0
NZL,New Zealand,10,7,3,20,3,0,80.2,4.12,25185.01,263310,99085.27,101750,44.26,80.08,2.67,100.9,1585,44560,410951,208,3,26,18,7,51,1
CAN,Canada,9,7,11,27,0,0,80.65,33.39,36319.24,8788700,3468911.13,569910,30.65,63.01,5.61,82.63,3699,99495,74522,332,1,14,29,14,57,0
UZB,Uzbekistan,8,2,3,13,0,0,NA,NA,NA,440653,37155,256906,33.57,20.65,NA,34.41,1816,28852,0,88,0,8,2,3,13,1
HUN,Hungary,6,7,6,19,0,0,73.34,9.96,18008.94,91260,20515.57,50436.89,14.07,10.58,12.81,79.73,2595,73420,0,177,1,9,12,10,31,0
ESP,Spain,5,4,9,18,0,0,80.94,40.45,28821.06,499733.24,185764.6,262284.46,44.29,34.95,6.69,100.26,2818,92038,162012,401,0,40,7,36,83,0
SWE,Sweden,4,4,3,11,0,0,80.88,9.03,33859.75,407283.54,279800,30029.1,46.42,63.26,4.56,77.07,3246,92883,0,125,1,5,7,4,16,0
KEN,Kenya,4,2,5,11,0,0,54.11,35.61,1463.25,569140,36110.9,277100,23.28,87.51,17.66,15.94,1140,8574,0,74,0,4,2,5,11,0
NOR,Norway,4,1,3,8,0,0,80.2,4.63,49357.19,364270,121878,9850,46.15,97.71,3.79,67.47,2905,71690,0,109,4,18,1,4,23,0
IRL,Ireland,4,0,3,7,0,0,78.89,4.11,40676,68890,7860.2,43370,23.12,27.97,4.56,76.85,3251,60307,0,143,2,5,0,4,9,0
BRA,Brazil,3,7,10,20,0,0,72.39,190.01,9065.8,8358140,4953913.67,2393695.61,17.54,73.97,9.95,77.32,2450,22647,0,290,1,4,28,35,67,1
IRI,Iran,3,6,3,12,0,0,70.96,69.45,11605.71,1622500,107656.3,470670,5.59,5.1,17.17,35.98,2122,33785,297246,NA,0,NA,NA,NA,NA,0
UKR,Ukraine,3,5,4,12,0,0,NA,NA,NA,579400,96960,413110,20.43,4.38,13.74,46.92,1676,51190,0,141,2,6,6,4,16,0
ROU,Romania,3,4,2,9,0,0,72.48,22.28,10808.48,230080,69290.5,130790,19.09,39.75,13.8,63.92,1343,33672,0,96,1,12,7,2,21,0
GEO,Georgia,3,3,1,7,0,0,NA,NA,NA,69490,28224,23799,18.44,78.04,14.29,31.83,1097,13021,226667,28,1,3,3,1,7,0
BEL,Belgium,3,1,6,10,0,0,79.44,10.39,33692.61,30280,6893,13656.7,42.67,20.8,7.91,65.78,3154,84094,0,177,1,3,1,6,10,0
BUL,Bulgaria,3,1,3,7,0,0,73,7.32,10680.79,108560,39060,50465.97,24.17,17.99,17.99,58.32,1547,36212,40000,46,0,3,1,3,7,0
SRB,Serbia,3,1,1,5,0,0,74,10.15,9786.53,84090,27229.4,34850,34.8,26.91,19.37,53.49,2334,37753,0,114,1,16,1,12,29,0
CZE,Czech Republic,3,0,2,5,0,0,76.49,10.23,22833.31,77186.83,26789,35297.97,26,11.4,11.87,82.79,3076,93626,0,NA,0,NA,NA,NA,NA,1
DEN,Denmark,2,2,5,9,0,0,78.33,5.47,35278.42,40000,6293.8,26180,43.58,65.51,6.94,70.83,2661,101871,0,131,2,17,5,20,42,0
AZE,Azerbaijan,2,2,3,7,0,0,NA,NA,NA,82650,11432.97,47806,18.64,7.04,11.66,34.08,1118,17307,0,48,0,2,2,3,7,1
CRO,Croatia,2,2,3,7,0,0,75.75,4.49,14619.22,55960,19416.1,14760,31.79,66.83,13.75,75.3,2537,66076,0,73,2,3,14,3,20,0
CUB,Cuba,2,1,6,9,0,0,78.27,11.42,8948.1,103800,32420,64010,55.74,3.95,6.07,55.48,1705,11265,0,61,0,2,1,6,9,0
BRN,Bahrain,2,1,1,4,0,0,75.64,0.71,29796.05,790,7.2,81,20,0,17.79,NA,1200,22201,0,14,0,2,1,1,4,0
SLO,Slovenia,2,1,0,3,0,0,77.93,2.01,25768.26,20136.4,12357.93,6109.6,37.78,29.39,12.8,76.4,2942,67062,35000,95,2,2,1,0,3,0
TPE,Chinese Taipei,2,0,5,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,0,3,0,5,8,0
AUT,Austria,2,0,3,5,0,0,79.83,8.2,36126.49,82520,39027.4,25974.59,40.98,76.49,9.65,87.23,3288,71610,0,84,1,3,0,3,6,0
HKG,"Hong Kong, China",2,0,2,4,0,0,82.21,6.98,39724.98,1050,NA,40,NA,0.28,NA,137.08,NA,NA,NA,34,0,2,0,2,4,0
PHI,Philippines,2,0,2,4,0,0,71.69,91.08,3190.48,298170,72234.8,126830,27.33,25.41,16.36,37.04,1339,56419,0,22,2,2,0,2,4,0
ALG,Algeria,2,0,1,3,0,0,72.3,33.33,6223.37,2381741,19583.33,413160.71,7.86,0.32,5.47,18.06,2332,25907,0,46,0,2,0,1,3,0
INA,Indonesia,2,0,0,2,0,0,70.65,223.55,3540.65,1892555.47,915276.63,646000,21.57,10.65,16.99,11.7,4500,16343,0,29,1,2,0,1,3,0
ISR,Israel,1,5,1,7,0,90,80.75,6.43,25523.28,21640,1400,6435,24.17,1.89,12.43,97.02,3343,136564,303030,89,1,1,9,1,11,0
POL,Poland,1,4,5,10,0,0,75.56,38.52,15389.92,306100,94950,144994.6,29.35,13.8,14.97,88.71,3020,74651,0,226,3,1,16,11,28,0
