medal_type,name,gender,discipline,event,country_code,country,nationality,birth_date
Gold Medal,EVENEPOEL Remco,Male,Cycling Road,Men's Individual Time Trial,BEL,Belgium,Belgium,2000-01-25
Silver Medal,GANNA Filippo,Male,Cycling Road,Men's Individual Time Trial,ITA,Italy,Italy,1996-07-25
Bronze Medal,van AERT Wout,Male,Cycling Road,Men's Individual Time Trial,BEL,Belgium,Belgium,1994-09-15
Gold Medal,BROWN Grace,Female,Cycling Road,Women's Individual Time Trial,AUS,Australia,Australia,1992-07-07
Silver Medal,HENDERSON Anna,Female,Cycling Road,Women's Individual Time Trial,GBR,Great Britain,Great Britain,1998-11-14
Bronze Medal,DYGERT Chloe,Female,Cycling Road,Women's Individual Time Trial,USA,United States,United States,1997-01-01
Gold Medal,OH Sanguk,Male,Fencing,Men's Sabre Individual,KOR,Korea,Korea,1996-09-30
Silver Medal,FERJANI Fares,Male,Fencing,Men's Sabre Individual,TUN,Tunisia,Tunisia,1997-07-22
Bronze Medal,SAMELE Luigi,Male,Fencing,Men's Sabre Individual,ITA,Italy,Italy,1987-07-25
Gold Medal,KONG Man Wai Vivian,Female,Fencing,Women's Épée Individual,HKG,"Hong Kong, China","Hong Kong, China",1994-02-08
Silver Medal,MALLO-BRETON Auriane,Female,Fencing,Women's Épée Individual,FRA,France,France,1993-10-11
Bronze Medal,MUHARI Eszter,Female,Fencing,Women's Épée Individual,HUN,Hungary,Hungary,2002-09-30
Gold Medal,SMETOV Yeldos,Male,Judo,Men -60 kg,KAZ,Kazakhstan,Kazakhstan,1992-09-09
Silver Medal,MKHEIDZE Luka,Male,Judo,Men -60 kg,FRA,France,France,1996-01-05
Bronze Medal,NAGAYAMA Ryuju,Male,Judo,Men -60 kg,JPN,Japan,Japan,1996-04-15
Bronze Medal,GARRIGOS Francisco,Male,Judo,Men -60 kg,ESP,Spain,Spain,1994-12-09
Gold Medal,TSUNODA Natsumi,Female,Judo,Women -48 kg,JPN,Japan,Japan,1992-08-06
Silver Medal,BAVUUDORJ Baasankhuu,Female,Judo,Women -48 kg,MGL,Mongolia,Mongolia,1999-11-26
Bronze Medal,BOUKLI Shirine,Female,Judo,Women -48 kg,FRA,France,France,1999-01-24
Bronze Medal,BABULFATH Tara,Female,Judo,Women -48 kg,SWE,Sweden,Sweden,2006-01-03
Gold Medal,MAERTENS Lukas,Male,Swimming,Men's 400m Freestyle,GER,Germany,Germany,2001-12-27
Silver Medal,WINNINGTON Elijah,Male,Swimming,Men's 400m Freestyle,AUS,Australia,Australia,2000-05-05
Bronze Medal,KIM Woomin,Male,Swimming,Men's 400m Freestyle,KOR,Korea,Korea,2001-08-24
Gold Medal,TITMUS Ariarne,Female,Swimming,Women's 400m Freestyle,AUS,Australia,Australia,2000-09-07
Silver Medal,McINTOSH Summer,Female,Swimming,Women's 400m Freestyle,CAN,Canada,Canada,2006-08-18
Bronze Medal,LEDECKY Katie,Female,Swimming,Women's 400m Freestyle,USA,United States,United States,1997-03-17
Gold Medal,FOX Jessica,Female,Canoe Slalom,Women's Kayak Single,AUS,Australia,Australia,1994-06-11
Silver Medal,ZWOLINSKA Klaudia,Female,Canoe Slalom,Women's Kayak Single,POL,Poland,Poland,1998-12-18
Bronze Medal,WOODS Kimberley,Female,Canoe Slalom,Women's Kayak Single,GBR,Great Britain,Great Britain,1995-09-08
Gold Medal,FERRAND PREVOT Pauline,Female,Cycling Mountain Bike,Women's Cross-country,FRA,France,France,1992-02-10
Silver Medal,BATTEN Haley,Female,Cycling Mountain Bike,Women's Cross-country,USA,United States,United States,1998-09-19
Bronze Medal,RISSVEDS Jenny,Female,Cycling Mountain Bike,Women's Cross-country,SWE,Sweden,Sweden,1994-06-06
Gold Medal,KANO Koki,Male,Fencing,Men's Épée Individual,JPN,Japan,Japan,1997-12-19
Silver Medal,BOREL Yannick,Male,Fencing,Men's Épée Individual,FRA,France,France,1988-11-05
Bronze Medal,ELSAYED Mohamed,Male,Fencing,Men's Épée Individual,EGY,Egypt,Egypt,2003-03-03
Gold Medal,KIEFER Lee,Female,Fencing,Women's Foil Individual,USA,United States,United States,1994-06-15
Silver Medal,SCRUGGS Lauren,Female,Fencing,Women's Foil Individual,USA,United States,United States,2003-01-27
Bronze Medal,HARVEY Eleanor,Female,Fencing,Women's Foil Individual,CAN,Canada,Canada,1995-01-14
Gold Medal,ABE Hifumi,Male,Judo,Men -66 kg,JPN,Japan,Japan,1997-08-09
Silver Medal,LIMA Willian,Male,Judo,Men -66 kg,BRA,Brazil,Brazil,2000-01-31
Bronze Medal,KYRGYZBAYEV Gusman,Male,Judo,Men -66 kg,KAZ,Kazakhstan,Kazakhstan,1992-09-28
Bronze Medal,VIERU Denis,Male,Judo,Men -66 kg,MDA,Republic of Moldova,Republic of Moldova,1996-03-10
Gold Medal,KELDIYOROVA Diyora,Female,Judo,Women -52 kg,UZB,Uzbekistan,Uzbekistan,1998-07-13
Silver Medal,KRASNIQI Distria,Female,Judo,Women -52 kg,KOS,Kosovo,Kosovo,1995-12-10
Bronze Medal,PIMENTA Larissa,Female,Judo,Women -52 kg,BRA,Brazil,Brazil,1999-03-01
Bronze Medal,BUCHARD Amandine,Female,Judo,Women -52 kg,FRA,France,France,1995-07-12
Gold Medal,XIE Yu,Male,Shooting,10m Air Pistol Men,CHN,China,China,2000-06-12
Silver Medal,MALDINI Federico Nilo,Male,Shooting,10m Air Pistol Men,ITA,Italy,Italy,2001-03-28
Bronze Medal,MONNA Paolo,Male,Shooting,10m Air Pistol Men,ITA,Italy,Italy,1998-04-19
Gold Medal,OH Ye Jin,Female,Shooting,10m Air Pistol Women,KOR,Korea,Korea,2005-05-10
Silver Medal,KIM Yeji,Female,Shooting,10m Air Pistol Women,KOR,Korea,Korea,1992-09-04
Bronze Medal,BHAKER Manu,Female,Shooting,10m Air Pistol Women,IND,India,India,2002-02-18
Gold Medal,YOSHIZAWA Coco,Female,Skateboarding,Women's Street,JPN,Japan,Japan,2009-09-22
Silver Medal,AKAMA Liz,Female,Skateboarding,Women's Street,JPN,Japan,Japan,2009-01-08
Bronze Medal,LEAL Rayssa,Female,Skateboarding,Women's Street,BRA,Brazil,Brazil,2008-01-04
Gold Medal,MARTINENGHI Nicolo,Male,Swimming,Men's 100m Breaststroke,ITA,Italy,Italy,1999-08-01
Silver Medal,PEATY Adam,Male,Swimming,Men's 100m Breaststroke,GBR,Great Britain,Great Britain,1994-12-28
Silver Medal,FINK Nic,Male,Swimming,Men's 100m Breaststroke,USA,United States,United States,1993-07-03
Gold Medal,MARCHAND Leon,Male,Swimming,Men's 400m Individual Medley,FRA,France,France,2002-05-17
Silver Medal,MATSUSHITA Tomoyuki,Male,Swimming,Men's 400m Individual Medley,JPN,Japan,Japan,2005-08-01
Bronze Medal,FOSTER Carson,Male,Swimming,Men's 400m Individual Medley,USA,United States,United States,2001-10-26
Gold Medal,HUSKE Torri,Female,Swimming,Women's 100m Butterfly,USA,United States,United States,2002-12-07
Silver Medal,WALSH Gretchen,Female,Swimming,Women's 100m Butterfly,USA,United States,United States,2003-01-29
Bronze Medal,ZHANG Yufei,Female,Swimming,Women's 100m Butterfly,CHN,China,China,1998-04-19
Gold Medal,GESTIN Nicolas,Male,Canoe Slalom,Men's Canoe Single,FRA,France,France,2000-03-14
Silver Medal,BURGESS Adam,Male,Canoe Slalom,Men's Canoe Single,GBR,Great Britain,Great Britain,1992-07-17
Bronze Medal,BENUS Matej,Male,Canoe Slalom,Men's Canoe Single,SVK,Slovakia,Slovakia,1987-11-02
Gold Medal,PIDCOCK Thomas,Male,Cycling Mountain Bike,Men's Cross-country,GBR,Great Britain,Great Britain,1999-07-30
Silver Medal,KORETZKY Victor,Male,Cycling Mountain Bike,Men's Cross-country,FRA,France,France,1994-08-26
Bronze Medal,HATHERLY Alan,Male,Cycling Mountain Bike,Men's Cross-country,RSA,South Africa,South Africa,1996-03-15
Gold Medal,JUNG Michael,Male,Equestrian,Eventing Individual,GER,Germany,Germany,1982-07-31
Silver Medal,BURTON Christopher,Male,Equestrian,Eventing Individual,AUS,Australia,Australia,1981-11-22
Bronze Medal,COLLETT Laura,Female,Equestrian,Eventing Individual,GBR,Great Britain,Great Britain,1989-08-31
Gold Medal,CHEUNG Ka Long,Male,Fencing,Men's Foil Individual,HKG,"Hong Kong, China","Hong Kong, China",1997-06-10
Silver Medal,MACCHI Filippo,Male,Fencing,Men's Foil Individual,ITA,Italy,Italy,2001-09-19
Bronze Medal,ITKIN Nick,Male,Fencing,Men's Foil Individual,USA,United States,United States,1999-10-09
Gold Medal,APITHY-BRUNET Manon,Female,Fencing,Women's Sabre Individual,FRA,France,France,1996-02-07
Silver Medal,BALZER Sara,Female,Fencing,Women's Sabre Individual,FRA,France,France,1995-04-03
Bronze Medal,KHARLAN Olga,Female,Fencing,Women's Sabre Individual,UKR,Ukraine,Ukraine,1990-09-04
Gold Medal,HEYDAROV Hidayat,Male,Judo,Men -73 kg,AZE,Azerbaijan,Azerbaijan,1997-07-27
