Date,Open,High,Low,Close,Volume
08/02/2024,"103.76","108.72","101.37","107.27","482,027,500"
08/01/2024,"117.53","120.16","106.81","109.21","523,462,312"
07/31/2024,"112.90","118.34","110.88","117.02","473,174,219"
07/30/2024,"111.52","111.99","102.54","103.73","486,833,312"
07/29/2024,"113.69","116.28","111.30","111.59","248,152,094"
07/26/2024,"116.19","116.20","111.58","113.06","293,399,094"
07/25/2024,"113.04","116.63","106.30","112.28","460,067,000"
07/24/2024,"119.17","119.95","113.44","114.25","327,776,906"
07/23/2024,"122.78","124.69","122.10","122.59","173,911,016"
07/22/2024,"120.35","124.07","119.86","123.54","258,068,891"
07/19/2024,"120.35","121.60","117.37","117.93","217,223,812"
07/18/2024,"121.85","122.40","116.56","121.09","320,979,500"
07/17/2024,"121.35","121.85","116.72","117.99","390,086,219"
07/16/2024,"128.44","129.04","124.58","126.36","214,769,500"
07/15/2024,"130.56","131.39","127.18","128.44","208,326,203"
07/12/2024,"128.26","131.92","127.22","129.24","252,680,500"
07/11/2024,"135.75","136.15","127.05","127.40","374,782,688"
07/10/2024,"134.03","135.10","132.42","134.91","248,978,594"
07/09/2024,"130.35","133.82","128.65","131.38","287,020,812"
07/08/2024,"127.49","130.77","127.04","128.20","237,677,297"
07/05/2024,"127.38","128.85","125.68","125.83","214,176,703"
07/03/2024,"121.66","128.28","121.36","128.28","215,748,984"
